Name	C0	C1	C2
ERP44	0.3730801114964936	0.5639443210983635	0.6863880598437738
FAS	3.6525733075828406e-15	0.6056666742370698	0.3887284823667082
ICAM1	8.072189434912748e-22	0.8152796901157824	0.42573081121263284
UBE2G2	0.602895633882293	0.4825155910344052	0.44986875492463385
KDELR2	0.8186014802094891	0.9196546835826315	0.9673741933827799
KAT7	0.6570367832434953	0.3718850136028403	0.46871610168815375
SEL1L	0.4233679190283201	0.6911471769168452	0.6932862478081562
ELOF1	0.8121168613417182	0.8008187148796293	0.7860245618297688
AP2M1	0.8843171654757678	0.9329914723912388	0.9513498081615905
NDUFV1	0.8590358910197998	0.7869845896744979	0.9386001957035085
PRKCSH	0.9093511636180764	0.9175044172310984	0.9742884582231934
SMG7	0.7345192149874936	0.4545755022034424	0.6897768112595796
PSME1	0.7853210120988423	0.8757777339681709	1.0252482734443424
OTUD5	0.6232934815913671	0.6534269698615789	0.6232440603514214
LENG8	0.7561547894047106	0.6762939476873465	0.7591196803475183
RBM15	0.382909603663007	0.15086424683447858	0.38206543731128667
DPF2	0.7024912309305483	0.5787913589481738	0.6909097143539625
RCE1	0.5224707390548339	0.4128558054141748	0.8094788943748703
FIBP	0.782247137324948	0.79639874925533	0.8519313469130287
NDUFS1	0.7605147154070786	0.6486588421762204	0.6935110610131519
CYB5R4	0.3787192880657288	0.34471581342439633	0.4031365240201943
ANKS3	0.2768850191108058	0.24140275792926844	0.23120750901097784
ATXN7L3	0.6957763915553229	0.591593092545874	0.7008955420257709
CARD10	0.04221991531746155	0.3682202656036966	0.6899142811252958
PSME2	0.7738922336017103	0.8818264539537702	1.011881324308965
PKNOX1	0.3277090286453454	0.21304434297313118	0.19671164768155935
PTEN	0.3148859122345789	0.30587920998702267	0.4434639154268486
IFNAR1	0.38621847576179014	0.516617654296172	0.46140664409516113
SURF1	0.5481351258706441	0.44487642100793195	0.7158093907413946
LSM12	0.6500186452330095	0.5856172297435978	0.685797895609749
TTL	0.6780306319111878	0.6282444001093787	0.2208842288830847
SCAF8	0.5676129621232939	0.3741264506200372	0.42174915086441994
DDX39B	0.351524414118114	0.20106491133664248	0.24164968501238338
SRSF2	0.9287702546357276	0.8534274955606324	0.9456381782709679
