Name	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
ERP44	0.7834991661159397	0.3915891930130966	0.37106684374490934	0.4610358456857797	0.6517813048137819	0.2187779022135271	0.9471355576759899	0.7191836498386128	0.44425917139444726	0.5325080396183692
FAS	0.00029808229439636213	8.392263651560964e-20	1.3209898626215423e-08	0.18710506377103328	0.588370502633093	7.27551500383956e-14	1.2650239622319572e-09	1.9819426015962338	0.730100542683721	3.80265232522054e-08
ICAM1	2.0324176613858402e-16	6.157201533338608e-18	1.2489571978173631e-16	0.298907183988889	3.5113145354635	0.014422053707296722	1.609162059538434e-06	0.0018141299936244334	2.0604709032670153e-06	0.44232062595784816
UBE2G2	0.8370698964234141	0.6788989811102109	0.26300074367901666	0.2721099451426691	0.285990107682806	0.5771307278141306	0.6280678942313982	0.684559853389618	0.19069967551766637	0.6978783954997725
KDELR2	0.9735930321042927	1.0420436998244362	0.9983080287688924	0.78360522323704	0.8765217679347451	0.7850144779101563	1.0684210791826563	0.9001007134081573	0.8249704486913517	0.9062701864439776
KAT7	0.7781727917197064	0.825729867979033	0.5884677815066409	0.1830407904038113	0.3007661736212152	0.6845943633218498	0.5518225895958929	0.3082354907460916	0.2131235398688756	0.5270766131108325
SEL1L	0.9477593009101214	0.15753625025592308	0.4852542830494731	0.8415351803794359	0.5087905553909262	0.3262284032615769	0.8614858548923789	0.8817938260953836	0.4105026954813067	0.7928361632984526
ELOF1	0.7732051015822234	1.1756735301084997	0.9769042730394827	0.5335056739542356	0.7070932044608221	0.7527697214339689	0.8394584535070595	0.6970115655565655	0.7213987405221769	0.8719599244636788
AP2M1	0.9710677086362723	1.2247596818949213	1.010652083082953	0.7523675228282737	0.8558844839934132	0.8432838018229741	1.0191468553789298	0.9281158666071666	0.8041792411733332	0.9246352766094853
NDUFV1	1.056697345795961	1.2356779787099808	0.9099950434543573	0.6105663799973103	0.8524203615334948	0.7694705697757266	0.9673045884192988	0.7192259267896055	0.8070951259083217	0.7543279264405132
PRKCSH	1.0601429670699136	1.2531259374782897	0.9421282707949574	0.7267973669990903	0.8643874984665948	0.8465317933777098	1.1273469588625717	0.8727828330932517	0.7837821944317299	0.9548039199043064
SMG7	1.1072599715053861	0.9699029997992014	0.5475931184564465	0.30778574697950567	0.49111898692352884	0.6411873744247636	0.7811822933734689	0.4068557197723028	0.43756775129765596	0.5593553430600225
PSME1	1.016071857724995	1.0314067648187784	0.9465331053169628	0.7578059053273681	0.917232663498583	0.738332655488267	1.2193661434293006	0.9020019708963796	0.8324781044316545	0.7406142531759199
OTUD5	0.7436276092569496	0.7739993317881282	0.5351096146585131	0.5658932035386531	0.41170560629674474	0.6048744290191376	0.9727791850551617	0.7226193621761371	0.3347706777712932	0.7428594472041837
LENG8	1.2722502243182956	0.7495100566902836	0.4764156340981099	0.55263288714486	0.29244916970134793	0.6369600352409136	1.2166258085316652	0.9383627801601759	0.29277176726010545	0.9334332877410426
RBM15	0.5710912608830011	0.691266896735457	0.3298245920908737	0.11215582326266647	0.466098103164573	0.33577832103057176	0.03335972973468599	0.12909994729670726	0.34798210283118075	3.5434656424332787e-07
DPF2	0.7974168517183463	1.1056987031934782	0.5291638828014567	0.48837371491617965	0.4625351856862955	0.6865177742178441	0.9103699574147843	0.6158611906863883	0.4831039598424389	0.5289385693816105
RCE1	0.7843482779231116	0.8651913895618487	0.6356317160107261	0.6103375963253528	0.7946792413778753	0.5427799855888893	0.849219596391091	0.2606928282725014	0.5790441435435414	0.001531129073418662
FIBP	0.9246649638335014	1.147045555036736	0.9048825363382045	0.6668554538088163	0.7099726669569129	0.6624280050513307	0.8116558902247317	0.7847024892451352	0.7795257821810002	0.7807142157930563
NDUFS1	0.8800915980965994	1.0192044890283045	0.7271675415158622	0.43586165051853587	0.5497607217077752	0.6808940248846483	0.4739514265242999	0.6233241067749771	0.8511103543612205	0.8068387392094055
CYB5R4	0.3808316222330272	0.5606059250986858	0.30454878568908195	0.4452722074198905	0.3508816745789972	0.5075090871251099	0.28519556776067384	0.40394837315471865	0.44588433075316564	0.15446639030575646
ANKS3	0.4260981449166121	0.27734237650145044	0.3689785475783441	0.25838533138755504	0.10258050614041309	0.2383625688558539	0.15000737119912919	0.3535897453750674	0.07345117621075099	0.2589638088320795
ATXN7L3	0.9394972822438715	0.8244716710369699	0.630601748982746	0.4743941565215715	0.3830456400517779	0.6675815895149302	0.8672950043671929	0.682401026185054	0.5301782029781222	0.6909953101828766
CARD10	0.041899208728488686	0.25254910166424427	0.5269961677226507	0.9478594638121695	0.3793232815617212	0.00043620452630378347	1.1114952707941124	1.3344984600283515e-05	0.6794160044856394	4.6206472271467286e-21
PSME2	0.9043013963618978	1.0833980949274975	1.0204428863762467	0.6923912744212464	1.0033085782043747	0.7293306295273112	1.0796621512287659	0.8746269908398797	0.9319829832294623	0.7115579336901368
