Name	C0	C1	C2	C3	C4	C5	C6	C7	C8
TBK1	0.33588523067862514	0.7072318212517895	0.3650200881033794	0.11881465083453324	0.41808784478548594	0.8886059549498108	0.2761290928686821	0.46887473976080113	0.17378793259465306
ATG10	0.07808281584410508	0.06173365595018551	0.0819229667239543	0.09265715948341666	0.06592586919805998	0.12899572538293014	0.06817656401509879	0.07094213021773839	0.15137037790194607
RNF31	0.38143561753878646	0.34008098638654155	0.9456035677092117	0.5402534674538708	0.47849496949960474	2.5916364067341874e-09	0.763218993085449	0.22565687228869094	0.2299581195004116
UBE2N	0.5952604534353153	0.7683668559857314	0.3610128855905731	0.6512089856391409	0.7212093495145696	0.8516905797479433	0.2839555706872079	0.6026896552266413	1.0301081748548613
CHMP3	0.8647065363544489	0.5772023475549689	0.5278420632246524	0.5188845970694735	0.9741044674016912	0.5562476299254223	0.8005527703799155	0.3594265624168232	0.2959501237888562
TRAF2	1.4064445308007926e-11	0.32547321816228475	0.5594952295354061	0.4050904047198956	0.3983564428898849	4.590456494170048e-08	0.9353859443545227	0.08596580227901592	0.43781790731248815
SCAF4	0.38137184643920424	0.4764550470640691	0.4766427109839842	0.8456662965960812	0.5591466739114572	0.09941890888199963	0.2013954884630099	0.30092351703528963	0.6039433346362181
STUB1	1.0360863032793919	0.4455523552783824	0.8397912660861293	0.4894052076751688	0.9667634682882038	0.5050871637568696	0.6896086714079036	0.8473655593444679	0.9637271709289109
BCL2L1	0.7816044750945688	0.7008813241653808	0.5929403288409661	0.6249908127698007	1.3472558926434763	0.8169249292599238	1.3403140888196843	0.1994711455951743	0.5587719023787938
PSMG1	0.5128975845953956	0.49316072914060405	0.15184059675886047	0.3105824111935792	0.6480147299089895	0.8428463231669818	0.06941951899934416	0.5928914565956255	1.5134867800759537
EPG5	0.6384345910833779	0.1989169838040686	6.084538927030534e-21	0.22896428645256234	0.08386663422733438	0.20402316342961638	0.24575153562421126	0.11871595852829535	2.326748923154869e-05
ITGB5	1.3438420719142445	0.743049039510747	0.7400188126293676	1.9216090117519354e-21	0.9099649836929263	1.0892509748336024e-10	1.5099201963712703	0.48965765035118436	0.1285354730090764
DICER1	0.15338261577578016	0.788107995112424	0.5525609490617179	0.55000179882904	0.43514565182088233	0.37975934641961945	0.058765465921520425	0.0506540767009926	1.0662983197759558e-07
MCL1	0.9291496222993916	1.1593811809740588	0.8900292618547001	0.8935885318391054	1.0804800020045895	0.7676769655552487	1.007158946845142	0.6550592413734196	0.7852344948630967
XYLT2	0.7355954467012029	0.32984953458258387	0.77087623463253	0.06719084015820354	0.29082842402727327	0.10038845841391622	0.6956435084226738	0.2633866218569129	5.520343693572188e-05
IPPK	0.2368173812010536	0.2037192003809718	0.3685759245966068	0.231230809637471	0.37032041329885296	0.06677720139231322	0.24411678316411037	0.2053577007172148	0.3088647416124062
PCBP2	0.9399151294945726	1.0028054639587134	0.8592928993708534	0.9868180573638335	1.1198380439296556	0.7225223070684879	0.8270267136815213	0.6879314803873593	1.0617123268672755
PTPN2	4.810106838236081e-14	0.7599523791189048	0.2745079731839671	0.29359072691760113	0.6609214704014371	0.6743537769698315	0.5037234482413533	1.4550131852982074e-09	0.6054242225467581
