Name	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
TBK1	0.2643072086637085	0.49821331421395276	0.8475349895437995	0.7602177726395563	0.2111321283000874	0.3810949401333547	0.47523992258396563	0.6158110297905505	0.11072175643278785	8.477552999810946e-05
ATG10	0.028357657724855122	0.0629949519292965	0.14553447157908928	0.18184877002208452	0.09032141646356465	0.0782885921390804	0.08052215265709772	0.07664715535910085	0.06563686230753593	0.07057186809605892
RNF31	0.45348556377197163	0.02460190745748097	0.00980147296668437	0.08783281270553395	0.4700919295493507	0.4915956160534577	0.4464578174957326	0.7982350857215565	0.6367807829443765	0.9443192568566877
UBE2N	0.6321948310472848	0.7357374664463111	0.526142380496559	1.3778316636407553	0.6629085496030533	0.5931029077045041	0.6628560389736428	0.6767246266052	0.41957326882583507	0.21961218554785494
CHMP3	0.8387907046775861	0.3850831089888367	0.6733048639007595	0.5201186958712628	0.5096471408847769	0.4827143320764852	0.9992859224232065	0.7903019914956344	0.5838456860494822	0.4728140228281952
TRAF2	0.3101953269711525	0.13306287652050686	0.242526392809307	0.2656478083887282	0.32510571696077684	0.3262861686410849	0.0009607273136789886	0.4577010330978025	0.9220810053594121	0.5338543851486415
SCAF4	0.5815929112498853	0.2868566557180785	0.05737713563864864	0.3901977964850232	0.8240228094667806	0.3433966362392047	0.34222301158431306	0.32456851682169385	0.417527254790496	0.8311739680630594
STUB1	0.670405936623643	0.3524022535304867	0.8296864908104346	0.9577010843052498	0.49082878496844207	1.062282039461502	0.9779912645801079	0.5569048422373408	0.6985597450496148	0.9914758690216506
BCL2L1	1.1355544716162915	0.6616059535445161	1.1502467527365008	0.43743553680855946	0.6493504174044079	0.3983413810963537	0.8391817892389623	0.8034105164962908	1.1390654507763658	0.7987965454656999
PSMG1	0.4854916654982777	0.8424935506812667	0.3747738847208454	1.661180006932786	0.2822457480188656	0.5669201562817234	0.4611454953759746	0.4686479197671611	0.3495867764192448	0.1835502469101124
EPG5	0.030047305682397007	0.12762826497909213	0.352972463331954	0.06128397579605299	0.3038027061994673	0.14121851559812099	0.7191236708297809	1.7211323953474714e-07	0.2155720317213888	0.00032212315998101943
ITGB5	0.6872329312509166	0.8066965655080914	0.4947560903627894	5.37773594636871e-15	2.255378898305641e-21	0.8727808881979657	1.2512744103412323	0.16985718870638838	1.2354117781957223	1.1722885564217669
DICER1	0.5577359424800628	0.4085720459763004	0.14800749946345176	0.2726746578050363	0.5916792284812615	2.228654658895889e-09	0.2751385293386206	0.7538009624937028	0.036435536485986735	0.32987690772333195
MCL1	0.941075229591128	0.8800426434957348	0.831461890984745	0.9346497386444016	0.9419881470542808	0.7386420209384206	1.0118024566729908	0.903742558179703	0.9900234295567032	0.9830289163279357
XYLT2	1.3338856257568483e-08	0.0707524348953144	0.5761061258483179	3.564013534903007e-07	0.10112333996254279	0.3877190783181955	0.6583161756411949	0.19956268458125054	0.645711785113202	0.9765450569577074
IPPK	0.2999084786198846	0.00019163775891086303	0.045509790153010335	0.45290620483882016	0.14676763450617963	0.3366163459085661	0.3023522169630422	0.5147741549000543	0.2202105819745117	0.20009075725889752
PCBP2	0.9473356765845318	0.7390846638245732	0.8579732316465019	1.0879240727988382	1.0047979901961537	0.8092556548542831	0.9497962147233175	0.7472611665984317	0.9427186182122078	1.100550278816272
PTPN2	0.6585116268273142	0.7022998736572194	0.40238636256528415	0.7167266600866872	0.2880206957339882	2.604469114636724e-19	0.05298682360445409	0.6067681752687025	0.5871719534047474	0.25277883668713386
