Name	C0	C1	C2	C3	C4	C5	C6	C7
TBK1	0.6041568333122685	0.25038406236815197	0.32082611415417195	0.08903197154693403	0.8944903309385929	0.33187913516858375	0.1469301120174939	0.6079105847356214
ATG10	0.0964453773459214	0.08021488765217585	0.14342118644601412	0.06244472665637519	0.12709737821352984	0.05588669814036846	0.03448619889799624	0.09061979760316707
RNF31	0.07690315392060205	0.4877558080506938	0.472298615484312	1.0358974834430712	0.1722121641852521	0.3687694347509016	0.7290864091687737	0.1324722038013428
UBE2N	0.7224367421542842	0.6502961106943881	0.9306460534602244	0.28869888938922694	0.7893420287997179	0.6712027747158535	0.3258751552140683	0.780779903813735
CHMP3	0.8109144114953276	0.5195903279938021	0.3263544708141179	0.7309614912342515	0.7400548414759841	0.7120212852306896	0.6986543749453941	0.4761318816973476
TRAF2	4.337678922223466e-13	0.2494251080911877	0.5013434058271061	0.4195857826577175	0.39783856909473114	0.19626765641543817	0.7689866405409391	0.2797924284907045
SCAF4	0.21571419383032756	0.7278686371416765	0.7102756266103335	0.5827315232408087	0.20427573884243846	0.5102496675287777	0.4012570818923563	0.1642412784357902
STUB1	0.6704487973178668	0.5384409509788028	0.8005371357206515	1.188712964757242	0.6016302813011104	0.8637746271214095	0.48882897288139054	0.8922176751146277
BCL2L1	0.8977215699796156	0.4726509720726481	0.5800039767469838	0.7638705625168719	1.1522705491407386	0.8714952704027443	1.1288890518727905	0.5068311068410689
PSMG1	0.5772955651563761	0.2628791727556798	1.1313543223520237	0.1408416453004773	0.662631753626203	0.6410133619364986	0.1034098365895801	0.9502925444102482
EPG5	0.6916615380964959	0.2842211139977749	7.303538721944241e-21	0.16351926999444547	0.04884650277400542	0.10208646675328956	0.15972058697331984	0.15303875006180728
ITGB5	0.8421025914465301	7.690343250269427e-21	0.0018543569417286414	1.659337637808617	0.10786650416458896	0.814710027027521	0.887587364777317	1.168250291539247
DICER1	0.2922900633897715	0.5229080739923182	0.4028118467227438	0.16790794658256658	0.5025881153414478	0.3820905784594555	0.3546204551662428	1.4806271491466292e-11
MCL1	0.9455875617168169	0.8607955298664152	0.9787882871575867	0.951635065014511	0.905617269962312	0.8854069140920922	0.9619884071596341	0.7958907934653177
XYLT2	0.4413869781537607	0.11846853018332505	0.172041682612652	1.0292799067480192	0.12853687769709496	0.24392188643319568	0.49639713871335966	0.28900862011684353
IPPK	0.10300169774399678	0.2136923824112454	0.2919869678870613	0.40851367365118235	0.2251657069149992	0.2916692372965647	0.26729953376637394	0.20853288256407307
PCBP2	0.8573733120205459	0.9125901285130201	1.1216861592715897	0.9943613876022013	0.8552922580631475	0.958005393773865	0.8209061925019203	0.7941757759156942
PTPN2	0.2991882959882935	0.14618362843217056	0.7542856874951134	9.32641975302467e-10	0.7120131574492237	0.43744497575396285	0.7063247226593471	0.27160803713422454
VPS13A	0.4001854092069805	0.3578957284505135	0.012483590921530976	3.059066836037381e-09	0.33867331693275493	0.3212077270168494	0.10352956313344255	3.4591898711896703e-13
FITM2	0.18793712377780247	0.2490555940752872	0.013834550707710391	0.5917929120783332	0.02075344230107238	0.2896866252291342	0.09055296974023624	0.3469472954983607
IKBKG	0.16138071714046168	0.09085972349487	0.11629721794670728	0.3056887503241415	0.10005627426055903	0.09687393458355206	0.25851149161131304	0.2405064593819129
RBCK1	0.7151895764998042	0.5946529904218597	0.07807293013167613	0.9989406823961526	0.6608436535183196	1.0193523369374826	0.8725823762838858	0.6389406470430172
CFLAR	0.4326331809686981	0.02573470755292941	0.0017542516400386153	0.06372593435337892	0.4957195246628839	0.1039302234599177	0.5967298876722222	0.157986517665733
SETD1A	0.019777304931071635	0.49425718871525154	0.49902210471849734	0.5761350592500946	0.10737359698495107	0.2806645979669742	0.18925321254894373	0.058162593132652804
CHIC2	0.9715122037667839	0.43915057277818925	0.02606654140929258	0.20665164080948553	0.3737464147348789	0.20230932516551264	0.6086752724063452	0.06034151570256688
TCEB1	0.8258873771383858	0.5317309485015426	0.9126402919482319	0.5669231439609446	0.9840410009310421	0.5232373847462335	0.6617551925861873	0.8902161018976709
