Name	C0	C1	C2	C3	C4	C5	C6
TBK1	0.26662419266101955	0.4553175657796455	0.0023385917513425365	0.9066100842499563	0.21615139432968225	0.6458704919857339	0.27102688823223703
ATG10	0.06332816829646484	0.13043128210448054	0.03750167723397749	0.11759996247430594	0.08561994957954897	0.07957661595678325	0.09784017036812115
RNF31	0.6855896003920432	0.2869202145710051	0.9606470892244561	3.936690438969264e-08	0.45309185916515005	0.23714012177956167	0.4565663353373379
UBE2N	0.3489729021089926	0.943961696511361	0.3909382655728109	0.8721110898219242	0.5391082863290017	0.6359726923966191	0.778362506572421
CHMP3	0.5766193498287018	0.30627564427244197	0.7167955068563401	0.768424810831266	0.5358977433608875	0.9251136912588519	0.45941139262951575
TRAF2	0.3190193880549433	0.5259604579559358	0.7728426976943565	0.07462165502649325	1.6176963221776004e-05	0.27356855897034077	0.44175704649777797
SCAF4	0.46183895734745006	0.43898529188704155	0.6706904884342435	0.2266821919140861	0.5732035451295376	0.07755380825277738	0.736165769050336
STUB1	1.0034105936929132	0.9008499417638466	0.7880035079036769	0.5478476576887483	0.8050240410274111	0.7780267740279525	0.4677653375263163
BCL2L1	0.5485390321318998	0.5089918830733372	1.106767624220689	1.095416612399118	0.556130910033605	1.081824173337578	0.5426756875917319
PSMG1	0.1364504051214924	1.27411467807785	0.24034664514337917	0.7924915983014236	0.5083516611823484	0.4752817994038607	0.5005785822503773
EPG5	0.16036053916217857	9.054426576489849e-18	4.755944806500569e-21	0.12110086209546696	0.22528220679376204	0.6188823383306772	0.2025502447422164
ITGB5	0.8074390644087547	0.7034483583413103	1.0172563091604463	2.5014983482841677e-06	0.3428445636406613	1.5989555373906936	2.6839868866363423e-21
DICER1	0.21307316525052936	0.028207118162842278	0.4928495027746844	0.5525498338450981	0.39214268561714033	0.12257527086572267	0.5582800101062736
MCL1	0.784763090523705	0.8697757723779628	1.0204963895473116	0.8792403888219271	0.8302227684290772	1.0358095808798382	0.910070139316883
XYLT2	0.6677218931393061	0.14933146478761924	0.5454204745297315	0.00016032268239502353	0.5357235877404741	0.6260941765632109	1.4490267941088283e-07
IPPK	0.3369144360408161	0.2875685678831556	0.39158823491311495	0.15761078118618183	0.16864974421390697	0.18798161491288742	0.2313169320193425
PCBP2	0.8299795090767328	0.9939116355178976	1.0038388382503727	0.86825328165288	0.9015177440760366	0.8581706796502585	0.9571838932324175
PTPN2	6.132831408040134e-14	0.5821748130743977	0.6822501566882025	0.7051875259127152	0.2730118763791859	0.26561661235517425	0.3906003878279695
VPS13A	0.0397932539559531	2.460405115882033e-16	9.243529157047578e-07	0.5860517704826097	0.21889213209503808	0.21873795988432682	0.25858467929330387
FITM2	0.5540434585276951	0.14211285105394075	0.21330473063299285	0.001157527762224477	0.21045204691250224	0.32182686290052975	0.10153608714507799
IKBKG	0.20796080883751278	0.19291883724687056	0.2196359548867158	0.003866233732946573	0.046274656625347556	0.35003143055285135	0.12373269214890101
RBCK1	0.9680873635664341	0.21618912558274722	0.8768002530177588	0.8119083428270872	0.6106957864747681	0.971822502849863	0.29276415289785357
CFLAR	0.03064693402626577	0.030964375171294196	0.24482600066088833	0.46383160562155346	0.08140268299220177	0.6125454925681981	0.048666095831657104
SETD1A	0.4618813340715709	0.2858865261129196	0.44644726757372655	0.03467872020196709	0.33453421292459123	3.693815496917377e-07	0.48750387120560806
CHIC2	0.12131674045891801	8.016338011077336e-13	0.24858385413517725	0.41135025079455534	0.42194163294044224	0.835900700632771	0.3636845514834203
TCEB1	0.5247893665674329	0.9619155439754098	0.5861464245355722	0.8345272814930969	0.6011260784967215	0.9299530963107724	0.6575540814710549
RGP1	0.5864505427729162	2.7260723837460097e-10	0.7079878951410408	0.14650639990981498	0.4185112116010868	0.41602608139325487	0.5626704855283482
TAB2	0.25780223878082936	0.11390873163520045	0.546542399553267	0.6228658456094335	0.4860681224166017	0.9119429283792961	0.573022319076555
TMEM208	0.8483272284800112	0.8360467658819402	0.8304341118696474	0.6906925803521289	0.648890363712129	0.8189229403934678	0.49293743004007895
IST1	0.7447701598427134	0.49978288289963946	0.9833576079371014	0.7164827229797505	0.6998666305863155	0.7172741624308775	0.7946580841120086
BAP1	0.6265240528154795	0.8315193416314146	0.678733982854174	0.07511863939496383	0.7329971153862551	0.5180113514906458	0.6615177660382018
UGP2	0.5670246080295478	0.684533130975922	0.5449489930807593	0.9025434702466909	0.5141473084192977	1.1326951560417524	0.4821218482392804
NCSTN	1.087596693522787	0.38423575162021845	0.9551447699196661	0.3840590847010087	0.734464600409694	1.0829538437930892	0.5422669234089429
UBE2M	0.9529731177511044	1.0316740956064028	0.8473571838216851	0.6274399549341189	0.7802426998200716	0.7505395620883308	0.8567391587936775
KDSR	0.2676383286876666	0.03434948346384924	0.16417814746299494	0.4570042183984874	0.23271620656577166	0.8054111667121885	0.40480801802968575
BIRC5	0.5123639198191139	1.5857566485656311	0.8308142203090798	0.4976069312427446	0.4820501648044046	0.6985704372882006	1.1084414896684767
VPS4B	0.5689392914761052	0.140339013459707	0.6142437719399069	0.7990591588359833	0.31373676512188453	0.9402853047574367	0.7283040984938562
POLR1E	0.0009163203150179389	1.1761777914768419	0.410526075859863	0.2271128943758508	0.6096908210897464	0.32915098454260494	0.6227044451839986
NPM1	0.8812816021490417	1.0964412939215515	1.074975744808805	0.925230879952508	0.9051159049981689	1.012600297156914	0.9832898954540555
BARD1	0.024737777994707045	0.33065612554793117	0.09453086809614122	0.29543837458038086	0.044723655696307874	0.11021851713640396	0.30731524681382494
GPATCH1	0.18953132643163847	0.20943752402825427	0.33694194767954283	0.1944025885415492	0.19668633106814415	0.052945022330313216	0.2785733685246385
L3MBTL2	0.6308858751781005	0.5350243168418625	0.33488482731453345	0.020161924658394937	0.3577046002007805	0.1530317591214312	0.39395734456029524
TFB2M	0.4073078275501174	1.0220796469960098	0.2120697965521299	0.8534653466643011	0.46156472826292155	0.31284833813476454	0.3237547938548385
MRE11A	3.01027948784985e-11	0.5528953736376174	0.48726743429812147	0.5830507619261839	0.17066416120878017	0.2812340754786944	0.5675732322611691
CENPO	0.17784864344890225	1.189843299254808	0.4155911899194497	0.00035918572470572375	0.24867720274954935	0.3779237274725567	0.9036491586043895
CMAS	0.5977180368628886	0.8179118867255479	0.6442188865002604	1.0016711493163988	0.3713675546959146	0.8844024998070236	0.703540715803544
MAPKAPK2	0.9051606766313897	0.37401486735357004	0.7614901014069206	0.3822237613097372	0.5014338765238435	0.9839902579026576	0.47428612629285344
