Name	C0	C1
TBK1	0.3874811565211128	0.4120164895486421
ATG10	0.09826120549529022	0.07483456303956879
RNF31	0.4734268865493055	0.39159767476127216
UBE2N	0.7241380360784384	0.5594899707871529
CHMP3	0.5553826616639654	0.6823842835606162
TRAF2	0.39880003600195507	0.30066918476929944
SCAF4	0.5874975821816336	0.2812643792907855
STUB1	0.7235974824531808	0.7937686968174018
BCL2L1	0.7307310295847084	0.8494388177734579
PSMG1	0.622818619395645	0.5148120077920814
EPG5	0.0951506001508527	0.30149473072447136
ITGB5	0.20468888838273924	1.20119643466464
DICER1	0.4464425150169477	0.18939020458578326
MCL1	0.9175729627472883	0.8939089677855954
XYLT2	0.20354289891740912	0.5417183021237425
IPPK	0.2794810314364292	0.22064856914615158
PCBP2	0.9803231979709275	0.8403277611181794
PTPN2	0.49442543716377807	0.3392013530880174
VPS13A	0.22234787850205848	0.13918370736916338
FITM2	0.17823632956002927	0.2635202611400814
IKBKG	0.11280299133668044	0.2333317979820242
RBCK1	0.5911980990642198	0.7740135587103657
CFLAR	0.10414934707081	0.36336009971951455
SETD1A	0.4017369684553961	0.14925383616633328
CHIC2	0.236820472631767	0.46967293923661413
TCEB1	0.7180304275934595	0.7569751308730799
RGP1	0.4224119330733449	0.3679474238501815
TAB2	0.4418408565828307	0.5736586101108109
TMEM208	0.7159063372042461	0.7719048509234784
IST1	0.7881117644511267	0.667700833342002
BAP1	0.5990482577497163	0.5776484956022063
UGP2	0.6042836640706576	0.8076065007545948
NCSTN	0.6321314629282574	0.8571476761370729
UBE2M	0.8943833903718642	0.764457231598886
KDSR	0.27070816927689995	0.4178867813022809
BIRC5	0.936503743067031	0.7085948266401633
VPS4B	0.5904805349056587	0.5785377205427171
POLR1E	0.531244415914835	0.4480616041847143
NPM1	1.0251788631636283	0.9390714505956715
BARD1	0.23971892473806292	0.09955561275406902
GPATCH1	0.27021944326072816	0.13214882596007776
L3MBTL2	0.3991806758658056	0.27563530519170387
TFB2M	0.5954746925348507	0.4265249136534474
MRE11A	0.480897551502396	0.27152917996428017
CENPO	0.5657340686577604	0.3917532253728433
