Name	C0	C1	C2
TBK1	0.42095835419093647	0.4277502408356408	0.36186731792965926
ATG10	0.07569694341059424	0.0804696757053056	0.10860512436072943
RNF31	0.5185230883314148	0.3768075632523643	0.42434680492763055
UBE2N	0.6016625668347922	0.5904071070805655	0.7705666545690131
CHMP3	0.7110289678755445	0.6875290416927013	0.4669452898538531
TRAF2	0.48027425683847225	0.2643867028376958	0.3252490818749825
SCAF4	0.42622516209642425	0.2828964389770797	0.63741451708136
STUB1	0.7731955662002606	0.8313114903926402	0.6907674169243211
BCL2L1	1.0360536522883304	0.8110839424107535	0.538293703238648
PSMG1	0.5238738782985085	0.5491114560808827	0.6629447497114638
EPG5	0.05789909902546334	0.3717506522958127	0.15297724323905634
ITGB5	0.7688667845486321	1.2479007183829685	0.021035573476860952
DICER1	0.4053608815698639	0.16751158464110508	0.4160145408721054
MCL1	0.9405732241514828	0.9220814140200766	0.8873918168334585
XYLT2	0.3668526209551201	0.5754201412184987	0.15621106776083035
IPPK	0.3094630755952865	0.21041090410570512	0.2442871224642066
PCBP2	0.9343199477025118	0.8680449364440345	0.9726655572924825
PTPN2	0.6093625590319938	0.29534615967823213	0.37456891427361955
VPS13A	0.2035117998489526	0.13936817048392	0.213516708967551
FITM2	0.18790897613440843	0.28758303553092823	0.18656835796481072
IKBKG	0.16221394338507758	0.2488990833638458	0.10249629550205633
RBCK1	0.8572397417763095	0.7574254251209164	0.4387478002769022
CFLAR	0.3140017838932509	0.32724256963540904	0.04183115708426304
SETD1A	0.26646433881886966	0.1472341121310699	0.4457542283877726
CHIC2	0.2677398145909431	0.5251054501128443	0.25697792138960335
TCEB1	0.7252776127779957	0.7966308623048206	0.7119130746497087
RGP1	0.42103342738159805	0.3710537200962292	0.4117692158543732
TAB2	0.5008185877674031	0.5998081124111162	0.42711126621303125
TMEM208	0.822968458039831	0.7852665861633239	0.6433730650126299
IST1	0.8150877663512904	0.6681934979497139	0.736406402848954
BAP1	0.4524690791939532	0.6416939810087288	0.6927499213777072
UGP2	0.7321196279924	0.8425974384389844	0.547830800910529
NCSTN	0.7464170960199294	0.8998060736157061	0.5915641258334354
UBE2M	0.802235280066181	0.8025329012155737	0.9237898236881571
KDSR	0.2746678931138644	0.4631743316132709	0.2928863578925035
BIRC5	0.7497849227595768	0.751307910626272	1.0157148215048308
VPS4B	0.642389110753228	0.5857977582675384	0.5461775673248783
POLR1E	0.3362370414237058	0.5025834431971291	0.6541823192916014
NPM1	1.011467101911444	0.9710136827125601	1.0052823885242013
BARD1	0.1799515280209292	0.09615477948885508	0.25173737053159884
GPATCH1	0.25099726647325565	0.12098675229550539	0.2514737054220776
L3MBTL2	0.26984909007537816	0.2976108556466489	0.46753853319969635
TFB2M	0.5522581673688175	0.4363176707481425	0.577997332230137
MRE11A	0.47007932893646737	0.2532105072111547	0.4379765160088871
CENPO	0.28465914270287884	0.4458397812906042	0.737652606021295
CMAS	0.8157800994613248	0.683422844390577	0.6964279199631848
MAPKAPK2	0.6510601420019051	0.7626575470776463	0.49177518401577275
SART3	0.5405570021257351	0.38104266194074204	0.7499127238109196
KLF5	1.2494493975225984	0.07000368411598715	0.03480763567726213
MAP3K7	0.24352665069316112	0.41828658527388246	0.37307302224464733
UXS1	0.5245998982466965	0.7884472489768684	0.2343057252012424
NAA35	0.4449726356993682	0.3077692213128046	0.3549850021390221
RAB5C	0.9239940110358753	0.9550596113230169	0.8617903351697733
MRPS15	0.7040757352998337	0.5885404729789002	0.6290279190825264
TSG101	0.6475482020547614	0.6352335922420697	0.5259323524391869
ATG12	0.24733045238927928	0.40274147486162626	0.1994650595964964
ATG3	0.574050546913616	0.5791335820461074	0.4369453784228841
PSMB8	0.8714610974078524	1.0025971315551978	0.0017728060738209184
SOCS1	0.07212742063284672	0.0970633163495989	0.06305832931741001
VDAC2	0.9493660069466956	0.8914678932211371	0.9113220765336374
JMJD6	0.15104596652619479	0.3082950757614774	0.31109798720453513
EI24	0.9013801273530289	0.7869551241806084	0.8482732791696422
MED24	0.5458660046252614	0.43972169828795454	0.7048147224352166
SAMD4A	0.06530653967329184	0.14371688730453655	0.018697918222042403
TMEM127	0.6008220794587308	0.735750733860435	0.28848017501723666
KDM5C	0.5073420220712676	0.5232257972037483	0.740252755189213
GLRX3	0.8378232588086184	0.8183799696888505	0.7319517346923655
TNFAIP3	0.3048975734921718	0.4259950527303955	6.359906733529816e-22
SRCAP	0.5877393467399581	0.3218876721898129	0.624175910661054
PCBP1	0.9892664978254408	0.9468248587783016	0.9933540444197808
MED16	0.4163414921976264	0.47209928285717623	0.5400437509760411
SETDB1	0.3165948901586218	0.11249018482885405	0.4835941892766221
RB1CC1	0.40758919885576717	0.4287033877761855	0.3790557613808504
PSMB4	0.9986144250533743	0.9630456243321507	1.0031115197395573
DNTTIP1	0.7342235057598873	0.698660128857288	0.5404800496583716
HUWE1	0.6848194908686839	0.6199785598199177	0.8115771310653654
PRPF3	0.4806989833721452	0.3336058691006165	0.590471576625581
BECN1	0.7554633691926924	0.8143953499561815	0.6125340402818519
TNIP1	0.829836518890698	0.9227341506826789	0.17319624337652023
RPL28	0.9656949315723319	0.916167840882808	0.914186031119699
TAB1	0.24812501622535227	0.21871974173968461	0.3909704017683184
PEX12	0.11832117527109198	0.1566568726411765	0.1260409586870603
ZC3H13	0.308875122133737	0.3814688717662887	0.5334024961623167
ATP6V0A1	0.39046093009732113	0.3786776404318637	0.6484641078556876
YEATS4	0.5443849946896174	0.2596699583162497	0.6826328342674273
GRB2	0.7641008181085812	0.7582731723863936	0.8104182470003783
INTS3	0.5798024508749977	0.5069502832037884	0.6643563516547679
MBTPS1	0.6752989964601571	0.7934064476171402	0.5815817113023474
HAUS4	0.7546586484800111	0.41451741792182184	0.5670741791909424
CSNK1A1	0.8967588181281906	0.8563392348781522	0.6799531544421376
IGBP1	0.782214626613397	0.6810186930758898	0.5502241225033537
MED9	0.25441184196723965	0.22033648634109868	0.3655444234210077
UBR4	0.4121152088352449	0.5233468638062458	0.5351198206124862
YBEY	0.25648762275410664	0.2267113042054598	0.34878383432205506
RFC2	0.6284777655108568	0.5255304285720316	0.8849960781104557
DUSP11	0.32898251914925103	0.2946666871617735	0.17393920127430598
TADA1	0.2191059433912166	0.057842630426132954	0.4198302104723024
TRAPPC1	0.9369063549462742	0.986026525146927	0.9249818200511848
PTAR1	0.16406880245756877	0.2887225925375247	0.3348307076736845
CANX	1.0023441585552078	0.9740149588808783	0.9699900690606933
PIGK	0.20327440356422544	0.6492330442146105	0.19472446620793774
MAPK1	0.4608973108544603	0.5554348099045077	0.4865015172828198
SLC10A7	0.1014148009354074	0.06393729922529308	0.07995222269513517
TPR	0.7340462119811162	0.6562647141860529	0.8657900475557484
PTPN1	0.7049719703236806	0.8124597096655204	0.6861118881231965
HNRNPF	0.9836292801723788	0.8664643563392114	0.9502641305264194
SRGAP2	0.16401439414532443	0.4652603099490537	0.3773712699505559
USP8	0.5548003800528827	0.5450204605159914	0.42404002402899466
RANGAP1	0.7633946699892075	0.7891584270366601	0.7661530381268582
GFPT1	0.683184202585794	0.5474758597303561	0.3925251312020067
COPE	0.9493371118445448	0.9412640421981879	0.9476336414300256
ANAPC13	0.7597860356350904	0.8365217290927649	0.7288136032083335
STK11	0.5218471064220256	0.49576754054270056	0.5269908030975253
SMARCA4	0.7105741613257377	0.5765043781430204	0.922469449080189
IPMK	0.16961194604446192	0.08283592026020964	0.1339767146048387
BIRC2	0.5157707453006969	0.8543947997941572	0.2516353872525142
