Name	C0	C1	C2	C3	C4
TBK1	0.44164110979941834	0.4221154105967257	0.1659014341864355	0.5471001192976118	0.41663091860155593
ATG10	0.07375603593250266	0.09533851430526226	0.05446198323800801	0.0875129530979368	0.12096818232628838
RNF31	0.22664202234137204	0.43004229873600414	0.9214051469470519	0.2862015449988556	0.37210495322950327
UBE2N	0.5382751721507889	0.7281605442105114	0.29471310305001275	0.7536815028025226	0.8724633648815984
CHMP3	0.7281180426082966	0.5542158387931493	0.6344186226303676	0.7450233721665239	0.48526754371410297
TRAF2	2.051541882845678e-11	0.5600840086115639	0.5392596612490336	0.3771526598395972	0.27404593479205425
SCAF4	0.2699322563189728	0.30299685729292164	0.5297967468655848	0.4106332350370555	0.6952522921848882
STUB1	0.7009489246753753	0.8691755778326743	0.9077125503165819	0.6752021770897538	0.6912272312280053
BCL2L1	0.7619210514127482	0.7996963021023219	0.7318193149196325	1.146742269899881	0.5464438418525775
PSMG1	0.3951202273922656	0.8563171642385773	0.044113436322328135	0.7312292900890267	0.7470964440068849
EPG5	0.5264778117476407	0.16322519516248277	0.14985633346739505	0.0019155789496596923	0.18798216981902569
ITGB5	0.8750820891846507	1.265141326764205	0.8584330209331605	0.5044688248762004	2.7461597287834004e-21
DICER1	0.29160682965071005	0.034141381974323405	0.2239174264404675	0.5642866079970584	0.503913134197617
MCL1	0.8518415694182135	0.9573420372436177	0.8253543347540827	0.9783006191344009	0.9502656086045144
XYLT2	0.5351399381411752	0.4388842101011124	0.6765775117007627	0.16800621915975703	0.10849011438203014
IPPK	0.14596781924526311	0.2640965189906508	0.35715764415590256	0.2688753629048912	0.23546910359850187
PCBP2	0.785598303065514	0.941245926493968	0.8492736485877043	0.9695909930503421	1.0415524661950315
PTPN2	0.21424134631622482	0.5073951371146019	2.969839995976701e-07	0.8939659018580053	0.42138960816286997
VPS13A	0.2868337388586682	1.7825326451430673e-17	0.015869416657540054	0.3322450876826051	0.28332121336836547
FITM2	0.23956735619975475	0.2382988802987111	0.48259364739920935	0.03710785724217593	0.15269183260384978
IKBKG	0.15113825857693677	0.30257421073631974	0.2511987783138957	0.0815306125718253	0.08343595305836303
RBCK1	0.7721291290935152	0.566810484662591	0.9661626120100528	0.7947333670559346	0.40642678413075284
CFLAR	0.3286527386680762	0.28600254081109144	0.12723306085403976	0.37634499849193614	0.04041809915476363
SETD1A	0.10121161806152885	0.17369419162849575	0.5356877496570741	0.1545349624883575	0.4582249692224287
CHIC2	0.7130588294220752	0.2674587748697935	0.18559762953021694	0.3217617788524318	0.31294099513174284
TCEB1	0.6627701704977361	0.950781387525163	0.49860970765794094	0.7944192028446384	0.7689176748174005
RGP1	0.43345840082265386	0.18264359477988493	0.7355164595574248	0.294804960664725	0.41687079573427394
