row_id	C0	C1	C2	C3	C4	C5	C6	C7	C8
TBK1	0.29641933006555155	2.0734596631001463e-20	0.5383679077174781	0.43971657201136005	0.39663230816773326	1.3897327967084035e-19	0.6237131532175407	2.2664194559824243e-20	1.5084206807427083
AGO2	0.7984672787239415	1.8809087384611317e-19	0.32836875726223724	0.6758848814835501	0.646077060323687	0.26888473207419594	0.8253569012388059	5.542869478002983e-20	5.3502418261610253e-20
ATG10	0.2561518149756226	0.9033251045935562	0.17884688588788494	0.7757918771632641	0.20828848913909076	3.4375060837293916e-20	0.5364913602422516	2.4501640807213385e-20	0.35720429130877196
RNF31	0.1888314780989369	1.9401351284107966e-20	0.3194907396127031	0.11707265512422015	0.6574379842752088	9.230781174416123e-20	0.37656994742176614	2.5166142702712346e-11	1.144855830172391
UBE2N	0.16976452740850478	0.47858500925334785	9.079016534625479e-20	0.4394467978619186	0.6554664455525782	0.537134418388102	0.39298871138826136	0.11033925722031905	2.069218611653139e-08
CHMP3	0.5124561098347891	0.2689734722932931	0.08792621006143805	0.002706293021434659	0.7656347401832085	0.6619498944102122	1.102006366764725	6.56228973669314e-14	0.22046787636854584
TRAF2	0.1764980983629862	3.891240510832841e-12	1.7606922937476293	0.49385940469538653	0.1507708238139724	0.08659477107281656	7.099929358917766e-19	1.002922224466356e-19	0.5433403224778094
SCAF4	7.366620818826761e-19	0.5393960182999007	0.5928553022172138	0.9140868960824761	0.451831945714532	0.4856318044349297	0.4899170663625593	0.04726680961454715	4.021898352850918e-06
STUB1	1.0491164552365944	0.29509881942833716	0.272856282465568	0.3118987737819861	0.3477036091057737	1.090638236939055	2.597758751771751e-20	0.022295306638249003	1.1517993313845743e-19
BCL2L1	0.07488450001560458	0.41765197871166265	1.6470938386815661	0.0520757674388687	0.37387092756929613	0.08746993091710047	0.18138064191799871	4.1964435345018114e-20	0.6009008627759098
PSMG1	0.736539305706503	0.10736485431270448	0.3635487369038864	0.366699209549561	0.09761821504466651	0.4085023415728971	0.9831522683998107	0.07811219616486843	1.0227046043493573
EPG5	0.3618477283488016	0.336726228996307	0.024782592138914854	0.9476308049803692	0.48017231779337843	4.151279981325608e-20	1.0200425463842244	0.07518050897572714	0.8241603824596889
ITGB5	0.9646930795062155	0.10593715042430414	0.39960538234604887	0.15002417949135752	1.0026128075745164	1.0701774448915475e-19	0.569420536536191	5.814797318961611e-20	1.0051441895657052
DICER1	0.5272478773100926	0.5914595716921368	0.33511664007301617	4.1931932178710636e-20	0.27744608818374744	0.5810525058289603	1.1138198308165684e-19	0.331637762797333	0.31917584234680424
MCL1	9.0810267369938e-20	0.5725064167449755	0.6160275652408524	0.6796473767935959	0.35560540169526994	3.171289582785134e-11	0.5744219119638956	0.473627764244892	1.363883534627732
XYLT2	7.60226414845944e-18	0.4618967127277883	0.4975886532266846	0.049587272510605206	0.5658248636562249	1.2329689198203913e-19	0.11098328158095956	0.784003681863958	2.15280643120644
IPPK	0.07396014876369754	0.5824386441537411	0.08446583771372182	0.6996825080547132	0.8193262906392385	0.8148510678596469	0.3972621168638872	1.837477956936623e-17	0.33692371722644204
PCBP2	3.797286558975147e-16	0.8894816721512159	0.8291693603513819	0.023036679534644607	0.25594528650742204	0.021337215841080556	0.41899978952646977	0.34576870418523065	0.6304851839237018
PTPN2	3.760156819082972e-16	0.44407659271341887	1.1439161838570184	1.2231079106955766e-19	0.05977017028499584	0.602271343769285	0.4816240003380834	2.6569966060838416e-20	0.013514224811285978
