row_id	C0	C1	C2	C3
TBK1	0.7807395871598025	4.1575352992300116e-20	0.5257039384258984	0.6161523891395593
AGO2	0.8166324075504067	0.30574211331760076	0.20520971823738313	0.30355986080964426
ATG10	0.2667723274433353	0.0007020437349371322	0.06834444793872599	1.0381902089489723
RNF31	0.4480208537681788	0.08816243417503053	0.30924092237606715	0.5074476630686454
UBE2N	0.11507254287186731	0.35585259354908716	0.3310110892599498	0.32535589939785037
CHMP3	0.4536977364188352	0.46899176232580664	0.4522237123730232	0.18957714702892112
TRAF2	1.1011777733038346	9.697404454254051e-06	0.21376054713222098	0.43012422958975227
SCAF4	0.220557598587953	0.1139673255209507	0.34663871733305157	0.8541392639073248
STUB1	0.6576613384081419	0.2720141636077581	0.6559688001198375	0.03569010640976767
BCL2L1	0.9023624000066925	0.05300941026692726	0.28668950560566364	0.5205572834801397
PSMG1	0.715384891073083	0.2949020192547886	0.41466607025129726	0.52280272739567
EPG5	0.24933330247217508	0.20248882995818127	0.28613442287616403	1.003401999523899
ITGB5	1.18732856599024	0.27412873605329324	0.14466994805249211	0.43029150245255265
DICER1	0.41302336756024177	0.38874090026104646	0.3992140150175335	0.12699275840823257
MCL1	0.21392413192542628	0.27702984916147494	0.5887765586067238	0.9829149403623809
XYLT2	0.28742490967143786	0.35105582010743286	0.6534151567731589	0.8349811867849275
IPPK	0.08914855852940355	0.1612612249061556	0.6708045678502508	0.7291205711347213
PCBP2	0.299604845170983	0.34408067687020694	0.3031599142776303	0.5414658003004305
PTPN2	0.7446768943856938	0.07384227013659488	0.441830463285528	0.1496853819567436
VPS13A	0.6724672261430763	0.05290287901931607	0.6024211000544104	0.7076759131888675
FITM2	0.187207126485949	0.17953163160658453	0.5515008831644139	0.7048356617369561
IKBKG	0.7619379679316989	2.7100912797194476e-16	0.6423143515760472	0.4302518009565739
RBCK1	0.7413325651549681	0.1206348387393713	0.23004138289803816	0.4693683179134111
CFLAR	0.6200950776618442	2.5965012018729736e-20	0.5937215358735	0.4842787486281611
EMC3	0.6804537561234625	0.06665051265692663	0.3891650342495418	0.5683480988408345
SETD1A	0.6068815343842875	0.2899981047612651	0.09996089693496708	0.7605037234708213
OTULIN	0.6656761693955159	0.09460155923655182	0.133981981652901	0.6092202704375123
CHIC2	0.3212828942306515	0.11468702925992931	0.35053177880526815	0.8756886152315482
TCEB1	0.9618152705462262	0.30934912328898023	0.2074175496614283	0.3622106883263667
RGP1	0.4592698282853976	0.2880812538807559	0.5858431392652471	0.6333016784772519
TAB2	1.2374252278487492	0.058225323990510794	0.37078590865565214	0.3113601153643293
TMEM208	0.3235270228740508	0.2356556379781726	0.6351110239836758	0.2588553099866964
IST1	0.8216627443454255	0.12288833130214291	0.6470257579704929	0.30268415829824263
BAP1	0.1672726374959648	1.0389157168188141	0.24712738985933533	0.03696595159960318
UGP2	0.35573539676605637	0.3584758466119735	0.8550615339679729	0.4106901048529004
EMC6	0.47253795984139235	0.16883509380298925	0.4109655028855916	0.6204987267330374
NCSTN	0.10424939115370374	0.06759965271404442	0.712991642373241	1.097245440055958
UBE2M	0.8974669232481343	0.6666182945330767	0.4370906480592562	2.1454322341308332e-18
KDSR	0.7330048999505392	0.840703266854668	0.30773966870788216	0.015031158396074983
BIRC5	0.5851824103676734	0.703091675264918	0.41816711057367345	0.206918272372382
VPS4B	0.36762254017939744	0.10414922177819351	0.5517027952245407	0.6317604615324339
POLR1E	0.4740516930368326	0.6835335839852447	0.2866951721224602	0.3572550883490081
NPM1	0.3365136214200467	0.34193305631895415	0.5091630976927212	0.5272697486110147
BARD1	0.13703057471134572	0.7823378843763792	0.5876705167958243	0.11234247530821695
GPATCH1	0.5874915128435274	0.7459852484362031	0.4581629063505227	0.14765171964061716
L3MBTL2	0.3902607748653682	0.41378066173942113	0.5884633723247775	0.5330289121952541
TFB2M	0.3122387349046277	0.8929639548711082	0.23497058367868137	0.08401266056423494
GP1BB	0.13618378205270792	0.4991382720816778	0.741231793012521	0.7044787728984665
MRE11A	0.17858767828131086	0.9197487305778085	0.7763204220530301	0.08212809411596451
CENPO	0.6113300845308847	0.47108198585798944	0.14295501177976155	0.3882428575659291
CMAS	0.4627939869265007	0.33029762935655105	0.7110594398400666	0.023536612415932235
MAPKAPK2	0.7014835480658047	0.4803255026596989	0.1468066146356832	0.36681841210625576
