row_id	C0	C1	C2	C3	C4	C5	C6
TBK1	2.3092543368618483e-20	0.5128829816130849	0.24080531978683398	0.06109010032197961	1.0906136784373563	0.5518806192003247	0.7409553940245283
AGO2	6.569243214158413e-15	0.5869600590814514	0.518230340977959	0.18793824393159503	0.3710101777372074	1.0877409911764926	0.0010864355983613333
ATG10	0.03756042844125523	0.2748202679809785	4.580096215521146e-20	0.8614801666506586	0.8621953313322596	0.3431045821982257	0.13156334678803644
RNF31	2.0964241370707332e-20	0.19753488898241012	0.6641498279214412	0.0313038296956742	0.9250985275066963	0.32576623339071065	0.14334421711309325
UBE2N	3.874685922822202e-20	0.009272390088909658	0.8411019593300832	0.4516093439388359	0.2535976383824521	0.243403844895594	0.22514755516323792
CHMP3	0.027349047353765595	0.29239231477462707	0.9708030433200948	0.6003948077189727	0.1204408568151486	0.43914203323960843	0.22132964518615475
TRAF2	1.378219260149233e-15	1.0020987981921228	3.60542425356056e-16	0.06320451155963303	0.5996215994579946	0.8283540409603062	0.30690499935290316
SCAF4	8.351716309220511e-20	0.15182279507479604	0.25805733351731336	0.5763678278366255	0.6454015741786442	0.8740359745655806	0.27267998155788353
STUB1	0.2810707708752746	0.6673646696016717	0.5026056276584249	0.1445593201972541	4.3544644791352e-20	5.153473852115578e-16	0.9574563762078803
BCL2L1	3.986790326286259e-20	0.877121239941232	0.22225466457588616	0.47547412119398635	0.3947394807216451	0.6344120234469428	0.2560640416230365
PSMG1	0.19348582855952046	0.5483919317009304	0.6159315703515174	0.17072722062797982	0.7803590298382002	0.5361794547408482	0.4579110582749474
EPG5	0.2330853405600866	0.1738520816829898	0.19120173563589996	0.3791079905612125	1.2401186919888814	0.5606736111211411	0.44277611482528667
ITGB5	0.00023940283061087088	0.802245777995639	0.9537318215997188	0.20331123634134432	0.9840672356225734	0.37248127450882856	4.693347541240068e-20
DICER1	0.4743508992197391	0.49227980800241783	0.3465568182312199	0.353118286665761	0.07882686852293105	1.279876503414607e-19	0.4748232107128632
MCL1	0.05054405249685639	0.15174084371702926	0.6045042264162711	0.5573610252839931	0.9219230461029526	0.7990267222143225	0.6544944671070643
XYLT2	0.760414286209333	0.2297418859171966	0.3727557219107835	0.22212863089685264	1.1755896293934744	0.08654499941884625	0.8950743699037745
IPPK	4.1742792298245355e-20	9.009059780439976e-19	0.7803898150691237	0.5844508430060998	0.5382896218094361	0.2978893307575934	0.6798493466384888
PCBP2	0.3159647863947323	0.3118172457026952	0.22520442476443203	0.8611371169792423	0.35829486794303556	0.4110766089118084	0.17515536981988666
