row_id	C0	C1	C2	C3	C4	C5
TBK1	0.8411610681090768	0.08730318675613231	2.8857955017546353e-09	1.2735187852399612	0.409221831029701	0.057522961738227185
AGO2	0.18951643423358808	0.3560798627192207	0.3113796900747259	0.4891307274920584	1.1641173678382073	1.6877196484724809e-09
ATG10	0.15855357419230828	0.026544668164935687	1.5704592522346664e-09	0.5749829010457344	0.29942576785867475	1.0622015290417868
RNF31	0.38948834412362976	0.21943302784554636	1.0041049054421395e-19	0.8569902984004533	0.5260570825104525	0.017351513596239262
UBE2N	0.28047308459958326	0.35929244456695	0.07576549434358347	0.07830716418197488	0.6297619987175789	0.4904660197766189
CHMP3	0.3670329702390963	0.4352448027258179	0.5095972972737935	0.12507047835565355	0.7966211848155988	0.18332879207811054
TRAF2	0.11374218383225235	0.01704039225529582	0.34962456958905125	0.7961945639479333	1.2170219083715768	3.9953430508922375e-20
SCAF4	0.33173817275990797	0.11812601288444675	4.3393197369483726e-15	0.28867700365865423	1.0027318985060514	0.8277668587524594
STUB1	0.7464436794455371	0.25171855938205695	0.8195848028991861	0.19783577793308926	0.031568822547022826	6.886314063598843e-20
BCL2L1	0.07352474123139414	2.3555678270267043e-08	0.9236774076011118	0.5298402286831604	0.8548995413751447	9.741857741929304e-06
PSMG1	0.4620760316520222	0.4360344963399485	0.274698062605492	0.9274347855349937	0.6989751941938891	0.05458495237469973
EPG5	0.5436341622916259	0.36025522449115854	2.0325544056265416e-20	0.815379581716918	0.3952661479115308	0.5943552959832821
ITGB5	0.10482462391644877	0.4053088597595107	0.3628223647510175	1.136983241616012	0.8657498143929953	3.5748234649550904e-20
DICER1	0.279988580010031	0.32123953915311326	0.8814267168119327	0.10051666879096842	0.010666060437196317	0.15720970772621143
MCL1	0.8051727896029157	0.4536223844618409	4.302159779331257e-20	0.6183059854908958	0.36462988658827344	0.9479209211722718
XYLT2	0.879931434042802	0.682108467728215	0.04321824103056337	0.8696723583310235	1.5298136813849516e-19	0.648341182713077
IPPK	0.6814201192322294	0.20708518248808	7.114113142527559e-20	0.24958325507168275	0.7018349940080005	0.8206712901488928
PCBP2	0.20340208072004026	0.25743059469056656	0.49029255949555994	0.059109318951337274	0.5597567227236829	0.7434460214693416
PTPN2	0.040339399819950265	3.047681514341817e-16	0.8758237666367329	0.011918053386804395	1.009676400964956	4.0570036868599505e-20
VPS13A	0.8767274737692234	0.0110374401012829	0.6540298915210985	0.5361652076129776	4.2362942378593964e-18	0.6017213508090968
FITM2	0.78789443572832	0.309247293212116	1.7558533628825278e-05	0.6977986343394303	0.150417639915518	0.47879026548014586
IKBKG	0.601981339899991	0.05874920563429228	0.2652426833568103	0.7619806964634551	0.9267296436684189	4.7678110869250804e-11
RBCK1	0.250799695325811	0.21073315767671136	0.19780885007040822	1.145514024725624	0.33484882095053414	3.820727145463327e-20
CFLAR	0.9424354156646891	0.04028108994058864	0.21736908803195862	0.9316243163978103	0.04549878749272516	0.05688870031086745
EMC3	0.41789853160139817	0.12293136951640428	0.28592445342610673	0.8719978521369137	0.5468749749450096	0.15454638233875662
SETD1A	0.02984691964453344	0.26311476415127416	0.2301262367762246	0.4259828334140576	1.3876092650534047	0.572743239055473
OTULIN	7.984818374287005e-09	0.05476451906871684	0.48699191265061414	0.48978385627558063	0.7301238016303964	0.4217163871029224
CHIC2	0.36663577021448657	0.10398188038096355	0.2367693468650612	0.3043798784906627	0.6285736471228102	0.934199872102026
