row_id	C0	C1
ERP44	0.5865733793316801	0.4039545461678419
FAS	0.5918081773868357	0.687635822782188
ICAM1	0.5568405900528318	0.691410128551879
UBE2G2	0.6582459097614313	0.2433817873321542
KDELR2	0.3177317270070065	0.3357500915065286
KAT7	0.5708765660145046	0.2861858689061258
SEL1L	0.6741643470785721	0.3391004999031
ELOF1	0.5178268652254757	0.29638667089520027
AP2M1	0.521506110565264	0.5890711381138161
NDUFV1	0.42868327423525765	0.6760417416327202
PRKCSH	0.5305919700244046	0.36920577992625714
SMG7	0.10379483286678144	0.7446433700395285
PSME1	0.6088796991389106	0.7443753448941115
OTUD5	0.5531483983886702	0.3565919422971803
LENG8	0.1918769057724986	0.7307924883971488
RBM15	0.6703873352788738	0.1923743114292904
DPF2	0.36466779636509233	0.5342043957997792
RCE1	0.537614315022144	0.5376773756353583
FIBP	0.4252989795828552	0.3961861677720254
NDUFS1	0.30652974277238115	0.6344514385225143
CYB5R4	0.3338401385395292	0.7379853909750261
ANKS3	0.26996756728361543	0.4634751944135988
PET100	0.48050991628266876	0.3951517715817454
ATXN7L3	0.5055171677475461	0.5339613521345209
CARD10	0.34414190626820246	0.543917724394655
PSME2	0.49063329678030426	0.5725200987685345
PKNOX1	0.28153924985901735	0.7400814437795851
PTEN	0.3733267794422205	0.6869129255745957
IFNAR1	0.4880444182789053	0.6559510021474004
SURF1	0.4040853005245791	0.5127821123863481
LSM12	0.4195706106125392	0.5177422381583449
TTL	0.46921356555477994	0.411195580318079
SCAF8	0.49674202471934453	0.35990779493308206
DDX39B	0.4146568103338745	0.39293678234647844
SRSF2	0.36748597787643067	0.621951079233797
NDUFA6	0.45227479652803143	0.22730864526664968
EPHX4	0.538351367263042	0.425847861365634
DUS1L	0.49161468256810054	0.34258475677116423
ABHD16A	0.5144386355731407	0.3196709042209785
NXF1	0.6035585611501879	0.3644009682592852
FBXW7	0.5546223829621947	0.27983953142152773
USP4	0.29123914887471997	0.5789730842009753
FAM117A	0.26170055853937985	0.7532709382755265
TAF13	0.5207990630101623	0.09543443083996886
CYC1	0.5583100512565747	0.1701544147883203
CDCA3	0.24794103536275702	0.6946441071356965
FXR2	0.4003951504585162	0.6111894863028914
THOC5	0.48759142139898476	0.267026327919762
S1PR3	0.3108524992803923	0.4842873829230469
SIGLEC15	0.44267464531595474	0.5016438207391182
COCH	0.36966560477223276	0.4899385947466722
QRSL1	0.41322238285249935	0.28680390701547376
EPHA4	0.24745308774781186	0.5332555690390186
MRPS26	0.5463053289145261	0.048529294280717034
IL12RB2	0.317104918084931	0.6397583240071906
ATP5D	0.5628552734812922	0.41331236667975435
CUL5	0.2917689237613764	0.4480979753996539
SUMO1	0.35769116179105304	0.3743003546978703
AHCTF1	0.28623823569244633	0.7014367939958447
GPCPD1	0.27784353628665387	0.6487020569868149
GAPDH	0.33377038168862994	0.41216313538968186
SLC38A8	0.17725970379842768	0.9444243538688131
DYRK1A	0.5477047539940666	0.11422453083783234
HNRNPA3	0.37521062025339386	0.5931873143594805
SLC29A3	0.43229955792071595	0.5290671138371048
SMG6	0.17673011428108348	0.6788417684884391
SMG8	0.2255431200425528	0.9501188254030658
SEH1L	0.2688006701107889	0.5613312838996972
EIF3H	0.6699154503921129	0.16495215282970588
EIF3B	0.4530112301822422	0.4086674136617319
QKI	0.6244933079713151	0.3402401707201334
KAT6A	0.5267710478413167	0.5833484606711298
MEX3D	0.30730878448828947	0.533291824542134
TCP11	0.4760315933742642	0.5149997507581574
SPRY2	0.2773544549608556	0.7149008694355262
RUNX2	0.6437301972850291	0.3078710616528452
SPRED1	0.2643222423073772	0.8054485728092795
IGFLR1	0.4774115566923668	0.6514973146021449
KCNIP4	0.3068738231159612	0.49910318239851215
PGP	0.3904540890312132	0.47929638929540275
OFD1	0.3258798504735045	0.6551998632028699
CDC14A	0.35995234161378215	0.674108832263648
PPP6R1	0.10332337762175757	0.7912300720706131
CPNE5	0.3959318198439146	0.46958158617716345
ILDR1	0.3344286355174123	0.592862584822956
CCNF	0.4671121600178621	0.38373490067428007
MAD2L1	0.40108765164577015	0.32150333145790766
SNRNP70	0.3885996850056493	0.7398351599693779
AGPAT1	0.4111971452933749	0.62363765499371
TRIM39	0.13799228815605816	0.6377669566921631
SCN5A	0.26606884029670097	0.6022635444102915
PHGDH	0.4037684142803404	0.3375650468626464
CNOT3	0.5128132412626378	0.40569958582290433
METTL4	0.4352450931997015	0.5481176224635835
VMAC	0.28484188356179985	0.7175547981847926
PANK4	0.3911700310051857	0.5899284658237358
SERBP1	0.30062790977892406	0.5063709764318913
NKX2-8	0.20901143984231413	0.579305785077896
EHMT1	0.3442618199747321	0.531615864844487
ST6GAL1	0.3216506562929463	0.5773629896815816
GRIK2	0.4488973830558704	0.611710241646119
ANAPC2	0.3897766841272792	0.5174544215812904
FNDC3B	0.324911237554867	0.6366584050975612
ZFYVE21	0.16027411748071327	0.5726789509562042
FBXL15	0.3810554611991092	0.33207698366472205
GPRIN3	0.3297789055998598	0.5681648052324073
AMD1	0.46808717944253986	0.5433721967070134
FASTKD2	0.5226710680042623	0.2358223289382195
CRISP1	0.34494270930503823	0.5207373200278764
ERMARD	0.325441077044491	0.43472572057374004
NXT2	0.3522792982902647	0.6492543915475626
RPUSD1	0.5257604155737907	0.41807908632679036
MSRB1	0.5387870222900931	0.3462466246723462
SUV39H1	0.23465545127326098	0.7170134643881569
SYNGR3	0.36669943102531355	0.7199433374161398
RGS11	0.5891028560200693	0.33972856374919796
PITPNM2	0.3324205796518231	0.6914886422039881
TADA3	0.23490271367572188	0.5982882341091037
PIM2	0.5052824595105031	0.533731641914484
STIL	0.43576485166106327	0.23988258493122813
ACSBG2	0.37480998840950214	0.42354101235915437
SWI5	0.36281173171041786	0.6569043192542466
RAB8B	0.35484776561046366	0.479317317672385
EIF5B	0.4884179047748854	0.5118921005765329
GRWD1	0.49190273053839884	0.2415553019896804
LRRC47	0.22661556723100001	0.7776725556543108
SPATA2	0.15418316561648376	0.8719965187470771
NRD1	0.3479043077564075	0.656101147840846
SUCO	0.25103388562961143	0.5176108865710862
PYROXD1	0.6171872614670254	0.2526306650690358
BRPF1	0.3700727705639807	0.4132012199657467
FAM109B	0.32846392108400724	0.5135152327318594
AP2S1	0.6802894575167887	0.15325486512127787
ZCCHC14	0.54224494806894	0.5528624506858998
NXT1	0.5617026988766814	0.19787479820847004
TAZ	0.7858925079414637	0.13600440306656075
MOGS	0.6273387476478698	0.1365172542987782
RANBP2	0.3226303185402353	0.5875999798125535
SMG9	0.15844065442645935	0.892019440856241
PPP6R3	0.36135239321573615	0.7350702019941341
MTF1	0.6676276713945885	0.1640648081533312
NUP188	0.5833058233082733	0.39810517660997496
BAP1	0.4365405620412941	0.04917277713526687
ZEB2	0.3680036958549323	0.5302799459103965
TGFB2	0.24002883041491332	0.7127663866588654
NKX2-5	0.2031757146570078	0.8818354481604449
NARS	0.3152389248821793	0.4734565984893975
SRSF7	0.43487593925042156	0.23295815059847258
YARS	0.5160633884922637	0.3117508736724069
GIPC3	0.5297037715223951	0.2445257051810441
