row_id	C0	C1	C2	C3	C4
ERP44	0.38696686057187457	0.06627136144995832	0.9605683174329603	0.05441414096804889	1.2447156220882925
FAS	0.9125331428144334	0.3752817112764589	0.9563826848669581	0.28589536001759	0.7951419317011561
ICAM1	0.6993060293156768	0.8034191233087389	1.2970075204604266	0.2053253858574254	0.18381452999878592
UBE2G2	0.3633078002685512	0.47775023225878	8.017449647280875e-20	0.4304232727466195	1.2452199738007814
KDELR2	0.359869610451043	2.9573526360434717e-20	0.3942940052498185	0.2972029030473746	0.6631926089574766
KAT7	0.6907981849605425	0.6552569716083927	0.8177552144718698	0.019039833652677002	0.11153112010331342
SEL1L	0.5200372781920938	0.7850742916551761	0.3950929097828677	0.3752618162782018	0.6592169799373607
ELOF1	0.23934535673819932	0.6249414857598746	0.30487931409955094	0.31978427102005064	0.7139467332409029
AP2M1	0.6911940374360172	0.6913229704330893	0.9040998867725034	0.3173592312758975	0.2413203410535557
NDUFV1	0.8293469102807364	0.43250915761712194	0.7935586519549416	0.37026897218701144	0.3624571422247703
PRKCSH	5.709987948610989e-19	0.6030167738650773	0.5547517451321204	0.45012822831268084	0.7958072058082661
SMG7	0.07727062441269436	0.09376911471236322	4.777134884522699e-20	1.2637660121257783	0.526130755781647
PSME1	0.8206519456616611	0.6277133187111581	0.792813210267754	0.6116056430592971	0.6084974549053094
OTUD5	0.17879773197111007	0.8189865646198601	0.36174781562167146	0.5620843814582447	0.47793216862305593
LENG8	0.2864847919931827	0.2325545141872467	0.727881834043542	0.7275655693239886	0.2227573614710976
RBM15	0.5194927758747946	0.2770914382044198	0.03768615502252956	0.3489775290937597	1.253205473491719
DPF2	0.15881014290841142	0.5146949036525506	1.0896857179924542	0.3658836497622568	0.1272948799810209
RCE1	0.7595638336088008	0.47949131814343654	0.2378122278027427	0.5770463140464992	0.7409275318703432
FIBP	8.825081411309756e-20	0.4436785984891494	0.9877047203624049	0.05477147810384134	0.7074450491886222
NDUFS1	0.4140685829294306	0.34021388314422407	0.8742717052001611	0.3912574278410614	0.3195919770721988
CYB5R4	0.4224611888005874	0.27778808728892584	0.7118572904681382	0.7312431932419101	0.4993070579665496
ANKS3	0.9397032869371419	0.04336769039017595	0.47088564339813643	1.6193631787578732e-19	0.4265510014280693
PET100	0.660678540259072	0.5015698840768702	0.5034943192100373	0.24334016958365307	0.3888329526878177
ATXN7L3	0.00804777613967985	0.518855602205496	1.1138218169591369e-06	1.1321691334927602	1.0149587616005704
CARD10	3.2258801452332755e-18	0.27817541536584606	0.8227809390517289	0.7048375030894451	0.40825122313692963
PSME2	0.35832283652369	0.4323059920116364	0.44909903718715627	0.7265836430082245	0.7647428346960836
PKNOX1	0.7600953442524014	0.04833732195202655	0.5401055406250052	0.5022096914505191	0.6850284406514137
PTEN	0.298532334283345	0.5528555630057564	0.733941754590618	0.7316032198337864	0.3039612544298871
IFNAR1	0.35683949282418825	0.24727863161127367	0.9377496439402592	0.4848865682048635	0.9252544892146295
SURF1	1.4892698559926766e-19	0.5957147659300993	0.9373585443246377	0.5066295449212411	0.28277891026711277
LSM12	0.3142402268853138	0.5318666580432955	0.9589628956452042	0.39800311998283394	0.1716688162643591
TTL	0.4067405018816868	0.4104258010691969	0.9105536434211362	0.09274239239234805	0.5067205971854827
SCAF8	0.20653034589733085	0.46893322866221726	0.26530533705143156	0.5091387521455163	0.8326281877187784
DDX39B	0.2093944901786091	0.24216994331445454	0.19281728758566072	0.6355845762941054	0.8316929056531127
SRSF2	0.7700017028144726	0.1984881858316705	0.4224944012413668	0.5243125853808677	0.5783486396125441
NDUFA6	0.2915449639880441	0.3943824609194511	0.16224937113076304	0.2736863932906816	0.7380537273462358
EPHX4	0.9599835727807728	0.5112082161217819	0.48755026112659294	0.1025860841928987	0.49474896521901585
DUS1L	4.694464881841634e-12	0.7683211141303704	0.45314081670869694	0.4529430161127427	0.5341423128696523
ABHD16A	0.1548450679132144	0.44814345334502476	0.32472932630825907	0.4263087428873032	0.8988700664921316
NXF1	0.6026647263578869	0.548844629592948	0.5486089352775579	0.19181834992483293	0.7208705250705612
